Year,Org Name,Org Code,Spec Ed. Grad Rate - Grad Cohort #,Spec Ed. Grad Rate - Grad #,Spec Ed. Grad Rate - Grad %,Spec Ed. Dropout - Enr #,Spec Ed. Dropout - Drop #,Spec Ed. Dropout - Drop %,LRE Ages 6-21 - Students #,LRE Ages 6-21 - Full Incl #,LRE Ages 6-21 - Full Incl %,LRE Ages 3-5 - Students #,LRE Ages 3-5 - Full Incl #,LRE Ages 3-5 - Full Incl %,Cohort Completion Year,Substantial growth of knowledge & skills,Survey Period,Surv Meet Std #,Surv Meet Std %,Sch Yr Rev,# of Students Engaged,Dist Rate
2012,Abington,10000,27,17,63%,84,3,3.60%,295,205,69.50%,20,1,5%,2012-13,-,Spring 2013,NA,NA,2010-11,8,100%
2013,Abington,10000,20,16,80%,70,2,2.90%,272,174,64%,21,4,19%,2012-13,-,Spring 2013,11,73.20%,2010-11,8,100%
2012,Acton,20000,NA,NA,NA,NA,NA,NA,337,290,86.10%,58,6,10.30%,2010-11,86.7,Spring 2011,-,-,2012-13,NR,NR
2013,Acton,20000,NA,NA,NA,0,-,-,335,286,85.40%,60,16,26.70%,2010-11,86.7,Spring 2011,-,-,2012-13,NR,NR
2012,Acushnet,30000,3,-,-,0,-,-,174,128,73.60%,28,7,25%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,Acushnet,30000,2,-,-,0,-,-,170,127,74.70%,23,11,47.80%,2013-14,100,Spring 2012,-,-,2011-12,NA,NA
2012,Agawam,50000,77,60,77.90%,138,6,4.30%,547,308,56.30%,76,46,60.50%,2011-12,-,Spring 2012,93,82%,2009-10,14,100%
2013,Agawam,50000,59,44,74.60%,156,4,2.60%,555,327,58.90%,78,53,67.90%,2011-12,-,Spring 2012,93,82%,2009-10,14,100%
2012,Amesbury,70000,28,11,39.30%,98,5,5.10%,396,270,68.20%,74,7,9.50%,2012-13,-,Spring 2013,NA,NA,2010-11,7,87.50%
2013,Amesbury,70000,21,11,52.40%,103,0,0%,401,264,65.80%,49,34,69.40%,2012-13,76.9,Spring 2013,-,-,2010-11,7,87.50%
2012,Amherst,80000,NA,NA,NA,NA,NA,NA,205,101,49.30%,37,0,0%,2013-14,80,Spring 2012,39,80%,2011-12,NA,NA
2013,Amherst,80000,NA,NA,NA,0,-,-,198,107,54%,37,31,83.80%,2013-14,84.2,Spring 2012,39,80%,2011-12,NA,NA
2012,Andover,90000,89,73,82%,240,0,0%,949,650,68.50%,94,2,2.10%,2011-12,-,Spring 2012,-,-,2009-10,35,94.60%
2013,Andover,90000,85,68,80%,229,0,0%,976,629,64.40%,89,2,2.20%,2011-12,-,Spring 2012,-,-,2009-10,35,94.60%
2012,Arlington,100000,58,45,77.60%,141,2,1.40%,655,458,69.90%,85,12,14.10%,NA,NA,Spring 2011,12,40%,2012-13,NR,NR
2013,Arlington,100000,62,49,79%,153,1,0.70%,660,469,71.10%,88,24,27.30%,2014-15,-,Spring 2011,12,40%,2012-13,18,100%
2012,Ashland,140000,30,27,90%,80,2,2.50%,325,272,83.70%,35,13,37.10%,2011-12,-,Spring 2012,34,81%,2009-10,6,100%
2013,Ashland,140000,39,30,76.90%,88,5,5.70%,346,295,85.30%,34,16,47.10%,2011-12,-,Spring 2012,34,81%,2009-10,6,100%
2012,Attleboro,160000,79,57,72.20%,254,7,2.80%,910,608,66.80%,140,10,7.10%,2011-12,-,Spring 2012,100,84%,2009-10,9,75%
2013,Attleboro,160000,63,40,63.50%,237,11,4.60%,912,611,67%,145,71,49%,2012-13,100,Spring 2012,100,84%,2009-10,9,75%
2012,Auburn,170000,30,23,76.70%,85,0,0%,288,162,56.30%,34,9,26.50%,2010-11,92.3,Spring 2011,19,86.40%,2012-13,NR,NR
2013,Auburn,170000,24,15,62.50%,64,4,6.30%,265,175,66%,32,14,43.80%,2014-15,-,Spring 2011,19,86.30%,2012-13,7,100%
2012,Avon,180000,14,7,50%,49,4,8.20%,128,93,72.70%,21,1,4.80%,2011-12,-,Spring 2012,-,-,2009-10,2,100%
2013,Avon,180000,11,10,90.90%,37,1,2.70%,109,83,76.10%,18,3,16.70%,2012-13,90,Spring 2012,-,-,2009-10,2,100%
2013,Dartmouth,720000,22,18,81.80%,100,3,3%,427,272,63.70%,31,22,71%,2012-13,85.7,Spring 2013,19,86.30%,2010-11,4,100%
2012,Barnstable,200000,80,57,71.30%,147,6,4.10%,531,318,59.90%,90,0,0%,2010-11,77.4,Spring 2011,15,60%,2012-13,NR,NR
2013,Barnstable,200000,80,52,65%,163,8,4.90%,651,351,53.90%,86,41,47.70%,2014-15,-,Spring 2011,15,60%,2012-13,14,100%
2012,Bedford,230000,40,33,82.50%,108,0,0%,372,232,62.40%,32,5,15.60%,2011-12,-,Spring 2012,56,86%,2009-10,20,83.30%
2013,Bedford,230000,47,37,78.70%,112,1,0.90%,382,232,60.70%,38,13,34.20%,2011-12,-,Spring 2012,56,86%,2009-10,20,83.30%
2012,Belchertown,240000,36,26,72.20%,76,2,2.60%,337,151,44.80%,28,9,32.10%,2012-13,-,Spring 2013,NA,NA,2010-11,8,100%
2013,Belchertown,240000,36,29,80.60%,79,0,0%,326,160,49.10%,25,14,56%,2012-13,-,Spring 2013,39,73.50%,2010-11,8,100%
2012,Bellingham,250000,36,15,41.70%,91,8,8.80%,309,210,68%,46,2,4.30%,2012-13,100,Spring 2013,NA,NA,2010-11,10,100%
2013,Bellingham,250000,30,22,73.30%,96,2,2.10%,341,227,66.60%,47,4,8.50%,2012-13,100,Spring 2013,26,76.50%,2010-11,10,100%
2012,Belmont,260000,43,40,93%,76,0,0%,350,272,77.70%,60,32,53.30%,2012-13,100,Spring 2013,NA,NA,2010-11,17,100%
2013,Belmont,260000,29,23,79.30%,63,1,1.60%,347,266,76.70%,60,30,50%,2012-13,100,Spring 2013,42,84%,2010-11,17,100%
2012,Berkley,270000,NA,NA,NA,NA,NA,NA,129,34,26.40%,18,2,11.10%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Berkley,270000,NA,NA,NA,0,-,-,119,44,37%,14,9,64.30%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Berlin,280000,NA,NA,NA,NA,NA,NA,40,39,97.50%,8,2,25%,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Berlin,280000,NA,NA,NA,0,-,-,50,44,88%,12,0,0%,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Beverly,300000,83,45,54.20%,197,12,6.10%,782,453,57.90%,116,1,0.90%,2012-13,88.9,Spring 2013,NA,NA,2010-11,10,83.30%
2013,Beverly,300000,85,61,71.80%,182,7,3.80%,762,439,57.60%,117,33,28.20%,2012-13,90,Spring 2013,89,82.30%,2010-11,10,83.30%
